# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p2_cover             ra      63     0.048  0.889     0.063      9.0  0.032  0.032       63    0.521     0.500
p3_intercept         pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc      63     0.000  1.000     0.000      1.0  1.000  1.000       35    0.506     0.506
p5_timing            ra      63     0.000  1.000     0.000      1.0  1.000  1.000       35    0.506     0.506
p6_siege             pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra      63     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc      63     0.222  0.508     0.270      9.0  0.175  0.175       63    1.183     1.176
