[72/211] 022YYLV9QLQJ {'tag': '022YYLV9QLQJ', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 54, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.07}
[73/211] 022YYLV9V90G {'tag': '022YYLV9V90G', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.17}
[74/211] 022YYLV9YVJL {'tag': '022YYLV9YVJL', 'error': None, 'crowns': [0, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': True, 'accepted': 118, 'rejected': 1, 'delays': 3, 't': 300.1, 'secs': 0.34}
[75/211] 022YYQ0RPYY2 {'tag': '022YYQ0RPYY2', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 53, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.16}
[76/211] 022YYQ22298V {'tag': '022YYQ22298V', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 46, 'rejected': 0, 'delays': 7, 't': 180.1, 'secs': 0.12}
[77/211] 022YYQ2G0LPV {'tag': '022YYQ2G0LPV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 88, 'rejected': 0, 'delays': 0, 't': 278.0, 'secs': 0.29}
[78/211] 022YYQ2QJRPV {'tag': '022YYQ2QJRPV', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 43, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.13}
[79/211] 022YYQ92909Q {'tag': '022YYQ92909Q', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 44, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.3}
[80/211] 022YYQL2QLUV {'tag': '022YYQL2QLUV', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 61, 'rejected': 0, 'delays': 6, 't': 178.3, 'secs': 0.23}
[81/211] 022YYQL828PQ {'tag': '022YYQL828PQ', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 29, 'rejected': 1, 'delays': 0, 't': 133.5, 'secs': 0.12}
[82/211] 022YYQYV2C2J {'tag': '022YYQYV2C2J', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 45, 'rejected': 1, 'delays': 2, 't': 161.0, 'secs': 0.21}
[83/211] 022YYQYV9Y2R {'tag': '022YYQYV9Y2R', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 66, 'rejected': 0, 'delays': 0, 't': 193.2, 'secs': 0.18}
[84/211] 022YYYUC8VUJ {'tag': '022YYYUC8VUJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 90, 'rejected': 0, 'delays': 0, 't': 253.7, 'secs': 0.34}
[85/211] 022YYYUCQR2V {'tag': '022YYYUCQR2V', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 54, 'rejected': 1, 'delays': 3, 't': 180.1, 'secs': 0.18}
